"room_type","capacity","satisfaction_rating","bedrooms_no","metro_dist","attractions_index","longitude","latitude","price"
"Private room","2",98,"1",3.62593254890168,4.87392970379465,4.9604,52.36854,209.031471890891
"Entire home/apt","2",96,"1",0.504430856064857,20.4421341795664,4.89663,52.35781,640.45180793476
"Private room","2",98,"1",3.59589323979154,4.78017811412947,4.96173,52.37003,209.031471890891
"Private room","4",96,"1",0.3824055698576,19.7696055520522,4.90714,52.36799,934.08009748553
"Private room","2",88,"1",1.33344414516385,9.15151488558793,4.85743,52.37769,210.203172966513
"Private room","2",94,"1",1.74816716737242,4.12745540508127,4.80823,52.3569,221.217163077356
"Private room","2",91,"1",0.733824316750765,19.2084095016359,4.88958,52.38002,441.26262507909
"Private room","2",80,"1",0.781788023579137,17.3199203315457,4.88956,52.38126,325.498558807677
"Entire home/apt","4",97,"2",1.94055432328779,4.17024220952672,4.80772,52.36412,792.772947765566
"Private room","2",93,"1",0.218256442909029,3.64591420602293,4.94459,52.3186,213.952616408502
"Entire home/apt","4",98,"2",0.808682884457754,44.173966011116,4.88228,52.37451,1557.19072950109
"Private room","2",99,"1",1.51264882569433,5.95247468676257,4.91,52.402,317.062311063202
"Entire home/apt","2",95,"1",0.707723227211394,8.45236436193985,4.90258,52.3432,319.640053429569
"Entire home/apt","2",98,"1",1.63446341922928,7.77258818174382,4.93297,52.3617,1044.68867902421
"Entire home/apt","2",94,"1",2.61974869903979,6.29385096056501,4.94479,52.3678,310.969465469969
"Entire home/apt","2",92,"1",2.9774802400834,4.46614176184871,4.89443,52.41516,295.034330841516
"Entire home/apt","2",82,"0",0.101231819172681,6.29308112252559,4.91979,52.33963,344.245776017622
"Entire home/apt","2",98,"1",0.92021371089354,7.31531653924969,4.90733,52.34038,539.216835001055
"Private room","2",98,"1",0.401275176970096,28.2592757082445,4.888,52.369,460.947203149533
"Entire home/apt","4",93,"2",1.58582525022367,9.79959105302685,4.88707,52.39019,1376.51442364024
"Entire home/apt","4",98,"1",1.73048660273905,4.15638311984604,4.92022,52.41538,415.485201415415
"Private room","2",95,"1",2.46004606383989,6.11052380210038,4.94593,52.37431,215.124317484123
"Private room","2",97,"1",0.231482215244201,17.0201173230068,4.90441,52.36167,393.457221193729
"Private room","2",97,"0",1.5569628923101,5.48894597528447,4.91,52.405,232.231153188199
"Entire home/apt","2",100,"1",0.520316940467571,21.061878497682,4.89575,52.35704,774.260070770745
"Private room","2",90,"1",0.351082698008669,21.2092557014325,4.89496,52.379,291.050547184402
"Entire home/apt","4",95,"1",0.706728656962959,16.2766572899703,4.90042,52.35691,604.597755020739
"Entire home/apt","2",97,"1",1.38140781016854,16.4203751844606,4.87254,52.37197,467.040048742765
"Entire home/apt","2",92,"0",1.84409447760116,11.617009521648,4.86068,52.35961,744.498863449957
"Private room","2",94,"1",1.55817716780282,16.2726768809911,4.8684,52.36252,250.74403018302
"Private room","4",97,"2",1.874873288967,11.9392372294707,4.86873,52.37932,544.137979518665
"Entire home/apt","2",97,"1",0.647097191952299,8.29441926807717,4.90867,52.34474,424.155789375015
"Entire home/apt","2",97,"1",0.487337981301827,21.8966788958187,4.89768,52.36257,675.602840203407
"Entire home/apt","4",98,"2",0.430830755833167,13.4232097974513,4.89072,52.34974,909.474374897476
"Private room","2",98,"1",1.07203671962072,7.83436516386686,4.85345,52.38147,264.101422445106
"Private room","2",97,"1",0.454562565906057,2.25809408157357,4.99394,52.29924,196.611440489302
"Entire home/apt","4",97,"2",1.01423404256336,4.8738881302969,4.82065,52.37422,700.442903006585
"Private room","2",99,"1",2.64240720141793,5.77137521798282,4.94913,52.37407,307.22002202798
"Private room","4",93,"1",0.183175078206381,6.06394111185935,4.92111,52.33864,528.202844890212
"Entire home/apt","2",94,"1",2.13868386436177,6.80562020929607,4.9399,52.36333,675.602840203407
"Entire home/apt","4",98,"1",0.500426586761092,18.0525835693253,4.897,52.35577,675.602840203407
"Entire home/apt","3",97,"1",2.27045175554617,7.11265263415207,4.93871,52.369,515.782813488623
"Entire home/apt","2",100,"1",0.204161187927555,14.5264540799533,4.91029,52.36239,442.668666369836
"Entire home/apt","4",98,"3",0.281149414077015,24.3175665829138,4.89247,52.35585,596.161507276264
"Entire home/apt","4",99,"3",0.939539308934614,13.9450114882404,4.89025,52.38431,920.488365008319
"Entire home/apt","2",100,"1",0.669930144155618,11.6871055695009,4.89006,52.3475,718.955780001406
"Private room","2",96,"1",3.24633619604638,3.20534562333694,4.78696,52.34881,276.521453846695
"Entire home/apt","4",98,"3",0.125608174072054,21.1911179452369,4.89051,52.35474,988.212687179247
"Private room","2",98,"1",0.334831739774445,14.2292340026913,4.893,52.351,270.428608253462
"Entire home/apt","4",87,"2",0.259151218834828,34.2045538760089,4.89001,52.37271,798.631453143674
"Entire home/apt","3",92,"1",1.47509217401912,11.023285770819,4.92243,52.37119,479.460080144354
"Entire home/apt","2",99,"1",1.28467007861786,17.9878073941724,4.879,52.379,934.08009748553
"Entire home/apt","4",94,"2",1.58423875946511,10.279888828668,4.88431,52.38885,639.045766644014
"Private room","5",99,"2",1.21252223290019,19.6009043047837,4.87948,52.37836,1474.93731399245
"Entire home/apt","4",96,"2",0.126951124374191,25.5463822754572,4.89297,52.36075,1020.08295643615
"Entire home/apt","4",98,"2",0.895746766800716,23.8855250939845,4.88651,52.37819,1192.0886743374
"Entire home/apt","2",99,"1",1.17431127765865,8.39471221978881,4.85108,52.35643,798.631453143674
"Entire home/apt","4",98,"3",0.85919610209346,9.67411036669314,4.8698,52.34635,854.404424343262
"Private room","2",78,"1",0.626136339458819,6.82287033487335,4.83983,52.36761,614.44004405596
"Private room","2",92,"1",0.774562702099791,23.8561536155477,4.882,52.365,283.786000515548
"Entire home/apt","4",98,"3",1.52720574037299,6.38145949975267,4.93745,52.35297,870.105218756591
"Private room","2",90,"1",1.88728663343738,11.8720832612811,4.862,52.368,180.2076254306
"Private room","2",97,"1",0.595111945318158,2.91801701533505,4.98141,52.32206,242.07344222342
"Private room","4",91,"1",2.47991504229486,5.83279907381465,4.94807,52.3756,418.062943781783
"Private room","2",92,"1",1.34435153789995,9.71817421298488,4.92623,52.36568,281.442598364305
"Private room","2",93,"1",0.809357860749912,2.80989568559275,4.987,52.322,215.124317484123
"Private room","2",97,"1",0.351560864082245,26.2716723264162,4.88887,52.36368,448.527171747944
"Entire home/apt","2",98,"1",0.372731490111047,14.5172383172571,4.89525,52.35189,614.44004405596
"Private room","2",86,"1",0.80934162209827,2.80989715733557,4.987,52.322,279.099196213062
"Entire home/apt","2",80,"1",0.566827388457304,7.53469194571711,4.9117,52.34291,663.651489232067
"Private room","2",96,"1",0.524704321755103,10.8238524173752,4.89016,52.34616,279.099196213062
"Entire home/apt","2",100,"1",0.739746239191921,27.8641665086002,4.88204,52.37212,1044.68867902421
"Private room","2",93,"1",2.8408930193825,4.98743943353159,4.893,52.41042,299.721135144002
"Entire home/apt","2",89,"1",0.440402728969457,6.54340511209789,4.8398,52.37533,405.642912380194
"Entire home/apt","2",97,"1",1.5086101517302,17.3769816556033,4.86897,52.3612,985.634944812879
"Entire home/apt","4",93,"0",1.5727986406511,9.76070227053411,4.88783,52.39035,1214.11665455909
"Private room","4",96,"1",0.221585196500732,6.33030762982686,4.83906,52.37755,305.813980737234
"Private room","4",92,"1",0.541538909372189,25.1985342686013,4.887,52.365,937.595200712394
"Private room","2",87,"1",0.732202163058472,5.96023728924535,4.84805,52.34101,292.456588475148
"Entire home/apt","4",99,"1",0.412650514567242,6.13601444034679,4.83969,52.3501,552.808567478265
"Entire home/apt","4",80,"2",0.614446481573904,6.23172110703243,4.83498,52.36698,1228.88008811192
"Private room","2",86,"1",0.313175449708576,8.31390288313251,4.92126,52.38666,251.915731258641
"Private room","2",91,"1",0.912045625546349,10.7836841641811,4.875,52.347,258.242917066998
"Private room","4",96,"1",0.988562938264919,27.8454716584259,4.8791,52.37409,562.885196728611
"Entire home/apt","2",90,"0",0.134728523844149,29.6863010208731,4.89278,52.3699,462.118904225154
"Entire home/apt","2",99,"1",1.39454680297546,20.9280924834461,4.87073,52.35964,458.369460783165
"Private room","2",98,"1",1.02852186549792,7.53526866697258,4.8445,52.3638,184.425749302838
"Entire home/apt","4",100,"2",0.153442561055804,11.9480222375991,4.90945,52.35598,780.587256579102
"Private room","2",90,"1",1.13477736260379,19.8290460089716,4.87725,52.36741,228.716049961334
"Private room","2",100,"1",0.764035418673301,2.22525809062565,4.99856,52.30013,221.45150329248
"Private room","2",93,"0",0.370092322217122,33.1421806510897,4.89161,52.37436,385.958334309751
"Entire home/apt","3",90,"1",0.516879699517807,6.93781570865967,4.84563,52.37976,436.341480561479
"Entire home/apt","4",97,"2",0.455733251653984,12.6063069154135,4.90493,52.35421,626.391395027301
"Entire home/apt","2",100,"1",0.419950971415793,21.4413984762033,4.89921,52.36376,835.891547348441
